# GALON_TRUE   GALAT_TRUE    PAR_TRUE     PML_TRUE     PMB_TRUE     VRAD_TRUE     SIG_ALPHA    SIG_DELTA    SIGPAR_EQ    SIG_PMALPHA   SIG_PMDELTA   ALPHA          DELTA           LAMBDA         BETA            Lz_TRUE     E_HMV_TRUE   E_HdZ_TRUE
  2.0418887    -0.91787225   40.266663    1364.4547    -707.8792    -385.3393     14.1026325   10.269056    16.073305    9.976535      7.359234      0.16053177     0.1764969       0.21696241     0.098659076     1941.2072   -50867.527   -55302.848  
  1.4969732    -1.0638748    11.801726    77.38871     -502.6223    -150.2072     48.025986    34.76664     54.551258    33.983604     24.952633     6.20953        -0.054329187    6.1940312      -0.020594249    2171.1152   -44170.684   -61459.176  
  1.4171543    -1.0251458    10.976194    29.425297    -464.55804   -124.757706   51.733112    37.450275    58.76207     36.6068       26.878727     6.154507       -0.0451152      6.147206       0.009614039     2290.7      -42678.805   -57813.76   
  1.3951937    -1.0119051    11.039185    17.307146    -464.58838   -131.42671    51.451736    37.246582    58.442463    36.407696     26.732533     6.137329       -0.04144126     6.132879       0.01975375      2320.9663   -42948.95    -57371.69   
  1.8985788    -1.0166152    23.646616    650.2845     -713.5117    -309.07495    23.909357    17.308296    27.157911    16.918468     12.42247      0.09513638     0.066452175     0.11365075     0.023223285     2099.419    -49490.15    -60458.742  
  2.1104827    -0.8044914    48.42712     1749.0479    -360.78104   -410.37894    11.643215    8.6611       13.4973135   8.246197      6.2105794     0.19903402     0.29243097      0.29807454     0.19032903      1971.4357   -51028.426   -51895.707  
  1.8238922    -1.0062505    20.704859    477.2915     -670.385     -284.77173    27.414225    19.845514    31.138983    19.398544     14.243477     0.054088626    0.06656773      0.07608379     0.039582834     2083.8052   -50624.43    -61969.93   
  1.7309233    -0.9872138    21.43015     358.22986    -667.4294    -309.2444     26.41104     19.231619    30.101664    18.683792     13.78218      5.7410725E-5   0.06837982      0.0272883      0.06270668      1836.6709   -49153.055   -60099.453  
  1.6627703    -1.0536882    15.95845     230.00206    -616.1397    -238.49875    35.764385    25.890305    40.623676    25.30719      18.58193      6.2760415      -0.0066729216   6.273977       -0.0032807107   2018.4722   -47725.273   -63213.555  
  1.8486334    -0.9226489    29.25989     680.7245     -707.81995   -361.30737    19.305841    14.1973505   22.200653    13.6652155    10.174413     0.04480783     0.1508417       0.10131125     0.120546825     1947.8491   -50189.047   -56876.766  
  1.5161372    -1.0708282    13.47537     90.99134     -547.6568    -197.79794    42.59786     30.837147    48.385612    30.142616     22.132366     6.2210746      -0.055303723    6.2042274      -0.026064616    1921.2997   -45941.734   -63612.17   
  1.7292259    -1.0404124    14.388195    270.04446    -540.0018    -217.59467    39.950817    28.920918    45.378918    28.269545     20.757055     0.018370168    0.018417409     0.024179572    0.009591252     2369.1636   -46152.363   -60544.426  
  1.6187248    -1.0461787    13.871089    176.01096    -553.54144   -211.81439    42.364193    30.667994    48.120197    29.977272     22.010962     6.2530265      -0.009330048    6.251804       0.0034341514    2236.8638   -45845.273   -61275.19   
  1.8510251    -0.9438482    23.475748    575.68335    -631.49445   -324.045      24.910328    18.138851    28.391247    17.622152     12.999057     0.051804867    0.1307558       0.099622115    0.09936624      2184.2336   -49438.812   -57468.258  
  1.5248811    -1.0471287    11.730749    96.33868     -487.23047   -152.02443    50.491543    36.551487    57.351807    35.728256     26.23365      6.212366       -0.03284685     6.2051563      -0.0019994099   2298.1057   -44021.062   -60044.832  
  1.6767817    -1.0046233    13.303886    220.01096    -500.07944   -201.29614    44.454315    32.181057    50.4943      31.456259     23.096914     6.2626276      0.04107219      6.2806716      0.04585839      2606.7175   -45775.2     -58421.863  
  1.7205848    -1.0381715    17.171757    304.9955     -633.39386   -252.46121    34.401173    24.903458    39.075245    24.34257      17.873653     0.013474765    0.018913012     0.019885726    0.011992768     2099.359    -48624.92    -62716.25   
  1.9758812    -0.9119091    31.537666    952.517      -640.59143   -363.6776     18.548138    13.640141    21.329336    13.128891     9.775093      0.11920664     0.17745367      0.17977612     0.11565247      2040.0802   -50042.92    -55416.625  
  1.7042226    -1.0056906    18.831985    301.98294    -657.7548    -281.90863    31.502686    22.805204    35.78294     22.291574     16.367699     6.2765913      0.0458484       0.01220004     0.044685394     1995.1184   -48874.43    -61159.32   
  2.0028155    -0.8994335    37.09429     1199.7533    -666.9142    -381.71307    15.91916     11.706814    18.306156    11.268027     8.38959       0.13416083     0.1921455       0.19924249     0.123292394     2050.0542   -50594.445   -54952.82   
